start,today,deviceid,simserial,subscriberid,"Welcome to the OCA Bamako Project. In this project, you will collect data about identified features and their respective attributes across Bamako District.",Name of data collector,City,Commune,Name of quartier,Name of sector,Name of sector,Geopoint of health facility,_Geopoint of health facility_latitude,_Geopoint of health facility_longitude,_Geopoint of health facility_altitude,_Geopoint of health facility_precision,Nature of the facility,Type of the facility,What is the nature of the heath facility,What is the scope of services provided by health facility?,What is the ancillary services provided by health facility?,What is the type of the services provided by the facility?,Number of beds in the health facility,"Average number of patients per day, disaggregated (total)","Average number of patients per day, disaggregated (male)","Average number of patients per day, disaggregated (female)",Does this medical facility offer emergency services?,Does this facility offer dispensing prescription medication? (in pharmacy),Opening days and times,Opening days and times/Mo-Fri 07:30-13:30,Opening days and times/Mo-Sa 07:30-15:00,Opening days and times/Mo-Fri 08:00-17:00,Opening days and times/Mo-Fri 09:00-17:00,Opening days and times/Mo-Su 07:00-20:00,Opening days and times/Mo-Fri 07:00-13:30,Opening days and times/24/7,Opening days and times/Other,What type of operator is this?,What is the name of the operator?,What is the health care specialty of this facility,What is the number of doctors?,What is the number of nurses?,Phone number of health facility,Does the facility have toilets?,Type of facility,Is the facility usable,Is the facility separated boys/girls,Is the facility equiped for menstrual hygiene management,Is facility separated for staff and non staff?,Is  the facility meet needs for limited mobility?,Is there existance of handwashing at the facility?,"If yes, How many","Does the facility has Station with basin, soap and water / OR with alcohol-based hand rub",Is the station within 5 meters of toilets,Is there existance of a water point?,Is the facility improved?,Is water located on school premises?,"WASH package management, O&M and financing",Is there a dedicated person for maintenance/cleaning facilities,Frequency of cleaning,Latrine Emptying,You are now at end of this form. Thank you for filling it out. Swipe to the next page/screen and save form.,_id,_uuid,_submission_time,_validation_status,_index
2021-02-08T13:54:17.549Z,2021-02-08,collect:YOr78JsZpLkhP6SJ,,,,Mahamady Camara ,Bamako,Commune IV,Hamdallaye,,Clinique Kabala ,12.6394259 -8.0237305 366.2478603924306 3.95,12.6394259,-8.0237305,366.247860392431,3.95,Clinique Kabala ,Clinic,Clinic bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,fb3ebb8c-cee6-4413-98b4-010ad5577b9c,2021-02-08T17:24:39,,4
2021-02-09T09:17:29.181Z,2021-02-09,collect:rWmgRjTPVggkfceM,,,,Awa camara,Bamako,Commune IV,Lafiabougou,,Hamdalaye terminus,12.642245 -8.0403767 362.9930099068132 1.58,12.642245,-8.0403767,362.993009906813,1.58,Clinique médicale eureka,Clinic,Clinic bed,General acute care,Laboratory,Medicine,,,,,Yes,Yes,24/7,0,0,0,0,0,0,1,0,Private,,,,,20295502,Yes,Improved,Yes,,,,,Existence of handwashing post/station(s):,1,Facility with water and soap,,,,,,,,,,310,3eaacb0d-f9bb-4e48-b62e-fa46ca622ed7,2021-02-09T15:53:23,,8
2021-02-09T09:26:36.515Z,2021-02-09,collect:rWmgRjTPVggkfceM,,,,Awa camara,Bamako,Commune IV,Lafiabougou,,Hamdalaye,12.6421583 -8.0360517 368.41571875217903 1.371,12.6421583,-8.0360517,368.415718752179,1.371,Clinique horizon santé,Clinic,Clinic bed,All,Operating theater,Surgery,,,,,Yes,Yes,24/7,0,0,0,0,0,0,1,0,Private,,,,,2029674,Yes,Improved,Yes,,,,,Existence of handwashing post/station(s):,1,Facility with water and soap,,Water point exists,,,,,,,,311,1914b79a-b7f4-474c-b00a-ab8e00145e32,2021-02-09T15:53:23,,9
2021-02-09T09:45:30.491Z,2021-02-09,collect:rWmgRjTPVggkfceM,,,,Awa camara,Bamako,Commune IV,Lafiabougou,,Hamdalaye,12.64394 -8.032795 355.7945137865085 1.4,12.64394,-8.032795,355.794513786508,1.4,Clinique médicale sissmed santé,Clinic,Clinic bed,All,Laboratory,Martenal care,,,,,Yes,Yes,24/7,0,0,0,0,0,0,1,0,Private,Privé,General,2,2,20774040,Yes,Improved,Yes,Yes,,yes,Yes,Existence of handwashing post/station(s):,2,Facility with water and soap,,Water point exists,yes,Water located near healthcre premises,,Yes,Once a day,Manual Emptier,,312,d33b15ee-5bf9-47a6-b555-b7a08114a49a,2021-02-09T15:53:24,,10
2021-02-09T09:06:58.496Z,2021-02-09,collect:KvfuVGFOmCFXRwJk,,,,Fatoumata Kayentao,Bamako,Commune IV,Djikoroni-Para,,Motel,12.6272883 -8.0159633 328.6 2.66,12.6272883,-8.0159633,328.6,2.66,Clinique médicale Mosart,Clinic,Clinic bed,All,Operating theater,Pediatric care,5,8,5,3,Yes,Yes,24/7,0,0,0,0,0,0,1,0,Private,Dr Check Oumar Diallo,Paediatrics,16,6,20793688,Yes,Improved,Yes,No,Facility is equipped for menstrual hygiene management,yes,Yes,Existence of handwashing post/station(s):,9,Facility with water and soap,yes,Water point exists,yes,Water located near healthcre premises,Existence of Management Committee including WASH issues,Yes,Once a day,Other,,337,0e76e9bd-917e-4a43-aa0c-28a12a7f11b5,2021-02-09T16:19:32,,17
2021-02-09T14:38:41.160Z,2021-02-09,357470096398437,8.92230205062059E+018,610025062059459,,Kadidia Coulibaly ,Bamako,Commune V,Kalaban - Coura,,,12.58124889805913 -7.997382860630751 398.0 7.0,12.5812488980591,-7.99738286063075,398,7,Cabinet médical ,Clinic,Clinic bed,All,,,2,,,,Yes,Yes,24/7,0,0,0,0,0,0,1,0,Private,Dr. Djinta Mamadou,General,2,5,76916162,Yes,Improved,Yes,Yes,Facility is equipped for menstrual hygiene management,yes,Yes,Existence of handwashing post/station(s):,2,Facility with water and soap,yes,Water point exists,yes,Water located near healthcre premises,Existence of Management Committee including WASH issues,Yes,Once a day,Other,,363,a1608973-0505-4107-859a-38f73a70fc7b,2021-02-09T16:38:14,,25
2021-02-09T15:27:07.408Z,2021-02-09,357470096398437,8.92230205062059E+018,610025062059459,,Kadidia Coulibaly ,Bamako,Commune V,Kalaban - Coura,,,12.582093751989305 -7.998570743948221 404.0 5.0,12.5820937519893,-7.99857074394822,404,5,"Kabinet médical ""ASSO""",Clinic,Clinic bed,All,,Medicine,4,,,,Yes,Yes,24/7,0,0,0,0,0,0,1,0,Private,Dr. Abdoulaye Niabélé,General,4,4,76040693,Yes,Improved,Yes,Yes,Facility is not equipped for menstrual hygiene management,yes,No,Existence of handwashing post/station(s):,2,Facility with water and soap,yes,Water point exists,yes,Water located near healthcre premises,Existence of Management Committee including WASH issues,Yes,Once a day,Other,,364,53ae79bd-a39f-4995-b5c6-9a448ed78adc,2021-02-09T16:38:14,,26
2021-02-09T09:24:39.952Z,2021-02-09,collect:vZ1IuJDmO5Vr0btQ,,,,Daouda Sangaré,Bamako,Commune V,Kalaban - Coura,,Kalaban coura 30 mètre,12.5696834 -7.9803283 345.6 3.66,12.5696834,-7.9803283,345.6,3.66,Cabinet médical,Clinic,,All,Laboratory,Medicine,6,3,,,Yes,Yes,Mo-Su 07:00-20:00,0,0,0,0,1,0,0,0,Private,Clinique Médical Touroucina,General,4,2,20777227,Yes,Improved,Yes,No,Facility is not equipped for menstrual hygiene management,yes,,Existence of handwashing post/station(s):,3,Facility with water and soap,,Water point exists,yes,Water located near healthcre premises,Existence of Management Committee including WASH issues,Yes,Once a day,Manual Emptier,,419,f087c0d1-0d1b-4ae1-a03e-d338e6c0ba76,2021-02-09T17:10:58,,31
2021-02-09T10:15:23.917Z,2021-02-09,collect:vZ1IuJDmO5Vr0btQ,,,,Daouda Sangaré,Bamako,Commune V,Kalaban - Coura,,Kalaban coura,12.567295 -7.9811617 356.0 3.985,12.567295,-7.9811617,356,3.985,Cabinet médical Doniya,Clinic,,Specialized,Laboratory,Medicine,,,,,,,,,,,,,,,,,Clinique médical,General,,,,,,,,,,,,,,,,,,,,,,,421,3a8c862d-777f-4306-847f-a65a2421cbd9,2021-02-09T17:11:01,,32
2021-02-09T10:18:51.194Z,2021-02-09,collect:tlhcKmXOf6vUj7hD,,,,Mbaly Doumbia,Bamako,Commune I,Banconi,Banconi Dianguinebougou,Banconi dianguinebougou,12.6880344 -7.9608207 0.0 2299.999,12.6880344,-7.9608207,0,2299.999,Centre de santé cherifla ,Clinic,Clinic bed,General acute care,Operating theater,Surgery,20,40,10,30,No,Yes,24/7,0,0,0,0,0,0,1,0,Private,Fédération cherifla,General,5,2,20775636,Yes,Improved,Yes,Yes,Facility is equipped for menstrual hygiene management,yes,Yes,Existence of handwashing post/station(s):,3,Facility with water and soap,yes,Water point exists,yes,Water available when needed,Existence of Management Committee including WASH issues,Yes,Once a day,Other,,468,7c713060-3f1c-4c23-80b1-ef974863497d,2021-02-09T17:35:57,,41
2021-02-09T09:42:05.399Z,2021-02-09,collect:doqJGB7PZxYJ95Vo,,,,Ibrahima BABY,Bamako,Commune IV,Lafiabougou,,Hamdallaye,12.6439112 -8.0327677 384.0 5.8,12.6439112,-8.0327677,384,5.8,Clinique médical,Clinic,Clinic bed,All,Laboratory,Martenal care,4,,,,Yes,Yes,24/7,0,0,0,0,0,0,1,0,Private,Haliou Sissako,General,2,2,20774040,Yes,Improved,Yes,Yes,Facility is equipped for menstrual hygiene management,yes,Yes,Existence of handwashing post/station(s):,2,Facility with water and soap,,Water point exists,yes,Water located near healthcre premises,,Yes,Once a day,Manual Emptier,,481,dba0fe9c-b76b-4e59-b498-a39d1754322e,2021-02-09T17:49:10,,45
2021-02-09T14:01:26.382Z,2021-02-09,collect:doqJGB7PZxYJ95Vo,,,,Ibrahima BABY ,Bamako,Commune IV,Lafiabougou,,Hamdallaye ,12.6550461 -8.0456052 473.0 4.8,12.6550461,-8.0456052,473,4.8,Clinique médical eureka,Clinic,Clinic bed,General acute care,Laboratory,Medicine,,,,,Yes,Yes,24/7,0,0,0,0,0,0,1,0,Private,,,,,20295502,Yes,Improved,Yes,,,,,Existence of handwashing post/station(s):,1,Facility with water and soap,,,,,,,,,,491,bafe5ded-053b-4759-9583-b1e063007c7b,2021-02-09T17:49:15,,48
2021-02-09T14:18:19.838Z,2021-02-09,collect:doqJGB7PZxYJ95Vo,,,,Ibrahima BABY ,Bamako,Commune IV,Lafiabougou,,Hamdallaye ,12.6550713 -8.045629 473.0 7.333,12.6550713,-8.045629,473,7.333,Clinique horizon santé ,Clinic,Clinic bed,All,Operating theater,Surgery,,,,,Yes,Yes,24/7,0,0,0,0,0,0,1,0,Private,,,,,20296744,Yes,Improved,Yes,Yes,,,,Existence of handwashing post/station(s):,1,Facility with water and soap,,Water point exists,,,,,,,,492,b3cc6829-f7ec-4f49-a112-e3c6f1eaf896,2021-02-09T17:49:16,,49
2021-02-09T09:49:49.826Z,2021-02-09,collect:MISsMtgfFQthUhqA,,,,Ramatou ,Bamako,Commune V,Kalaban - Coura,,,12.5709361 -7.9886786 401.15502079243 4.5,12.5709361,-7.9886786,401.15502079243,4.5,Clinique médicale Maman Clémentine ,Clinic,,All,Laboratory,Medicine,,,,,Yes,Yes,Mo-Su 07:00-20:00,0,0,0,0,1,0,0,0,Private,Clémentine ,General,5,1,78529958,Yes,Improved,No,,,,,Existence of handwashing post/station(s):,1,,,Water point exists,yes,,,,,,,497,9db77592-caf0-4c00-8fb2-8c6e0db1e971,2021-02-09T18:00:06,,52
2021-02-09T12:55:52.888Z,2021-02-09,collect:MISsMtgfFQthUhqA,,,,Ramatou Sogoba ,Bamako,Commune V,Kalaban - Coura,,,12.5605758 -7.9918863 383.9272711655419 3.9,12.5605758,-7.9918863,383.927271165542,3.9,Cabinet Médical les Associates,Clinic,,All,Laboratory,Medicine,6,5,,,Yes,Yes,24/7,0,0,0,0,0,0,1,0,Governement,Dr Niambele,General,,,76169850,No,,,,,,,,,,,,,,,,,,,502,882e14bc-e8e8-4047-b9bb-3fa3f9dcd5cc,2021-02-09T18:00:09,,54
2021-02-09T15:04:09.495Z,2021-02-09,collect:FqitT56WpXPmMGWo,,,,KANTE,Bamako,Commune II,Missira,,Missira 1 rue 12,12.6548926 -7.9856343 369.06 3.56,12.6548926,-7.9856343,369.06,3.56,A.D.O.C iota,Clinic,Clinic no beds,All,Operating theater,Medicine,,30,11,19,Yes,Yes,Other Mo-Fri 08:00-17:00,0,0,1,0,0,0,0,1,Private,A.D.O.C,General,3,3,,Yes,Improved,Yes,Yes,Facility is equipped for menstrual hygiene management,yes,Yes,Existence of handwashing post/station(s):,2,Facility with water and soap,yes,Water point exists,yes,Water located near healthcre premises,Existence of Management Committee including WASH issues,Yes,Once a day,Manual Emptier,,519,3041b08c-48c4-4b39-b7db-2f1127a4ef42,2021-02-09T18:16:47,,57
2021-02-09T09:49:19.643Z,2021-02-09,collect:HT5m96BSOrMwBzMD,,,,Seydou kone,Bamako,Commune VI,Sénou,,Senou ladjibougou,12.5244617 -7.9285233 311.1600061035156 2.285,12.5244617,-7.9285233,311.160006103516,2.285,Cabinet medical pour sage femme,Clinic,Clinic bed,General acute care,Intensive care unit,Pediatric care,8,22,7,15,Yes,Yes,24/7,0,0,0,0,0,0,1,0,Private,Mme Sanogo Salimata Coulibaly,Paediatrics,3,2,79234117,Yes,Improved,Yes,Yes,Facility is equipped for menstrual hygiene management,yes,Yes,Existence of handwashing post/station(s):,4,Facility with water and soap,yes,Water point exists,yes,Water located near healthcre premises,Existence of Management Committee including WASH issues,Yes,Once a day,Other,,548,1c26040f-fb6d-4316-b367-6c0b4c18d12a,2021-02-09T19:25:40,,64
2021-02-09T11:28:10.990Z,2021-02-09,collect:2I1Tdd4038qf3eqE,,,,Amadou Minta,Bamako,Commune VI,Sénou,,Senou plateau ,12.4980209 -7.9172826 429.27824202749747 2.316,12.4980209,-7.9172826,429.278242027498,2.316,CABINET MÉDICAL BONNE MERE,Clinic,Clinic bed,All,,Social care,4,5,3,2,No,Yes,24/7,0,0,0,0,0,0,1,0,Private,,Social_care,2,2,76039897,Yes,Improved,Yes,Yes,Facility is not equipped for menstrual hygiene management,no,,,,,yes,Water point exists,yes,Water located near healthcre premises,,Yes,Once a day,Other,,560,8ec606b6-4091-4500-b053-39d8854f040c,2021-02-09T20:30:35,,65
2021-02-09T11:50:46.355Z,2021-02-09,collect:2I1Tdd4038qf3eqE,,,,Amadou Minta,Bamako,Commune VI,Sénou,,Plateau ,12.4973286 -7.9150254 443.5864177347256 3.15,12.4973286,-7.9150254,443.586417734726,3.15,Clinique médicale le plateau ,Clinic,Clinic bed,All,Operating theater,Social care,6,6,3,3,Yes,Yes,24/7,0,0,0,0,0,0,1,0,Private,,Social_care,1,3,79386555,Yes,Improved,Yes,No,,no,Yes,Existence of handwashing post/station(s):,1,Facility with water and soap,yes,Water point exists,not,Water available when needed,,,,,,561,1e98d18a-3fc2-4c67-ada4-0f21b6daaddc,2021-02-09T20:30:36,,66
2021-02-09T12:36:08.602Z,2021-02-09,collect:2I1Tdd4038qf3eqE,,,,Amadou Minta ,Bamako,Commune VI,Sénou,,,12.4960793 -7.911191 461.0718620372413 2.38,12.4960793,-7.911191,461.071862037241,2.38,CABINET DE SOINS SANTÉ PLUS,Clinic,Clinic bed,Specialized,Intensive care unit,Social care,4,5,4,1,No,Yes,24/7,0,0,0,0,0,0,1,0,Private,,General,1,2,20735165,Yes,Unimproved,Yes,No,,,,,,,,Water point exists,not,,,,,,,562,145734b5-3c5b-4855-b9ae-221e3d623bc6,2021-02-09T20:30:36,,67
2021-02-09T12:30:31.009Z,2021-02-09,358005081305960,8.92230205055341E+018,610025055341168,,Fatoumata CISSE,Bamako,Commune V,Kalaban - Coura,,Aci,12.556756666666669 -7.9860316666666655 375.5 7.2,12.5567566666667,-7.98603166666667,375.5,7.2,Cabinet Medical le Cinquantenaire,Clinic,Clinic bed,All,Laboratory,Medicine,6,4,2,3,Yes,Yes,Other,0,0,0,0,0,0,0,1,Private,Cabinet Medical le cinquantenaire,General,1,2,92870115,Yes,Improved,Yes,,Facility is equipped for menstrual hygiene management,,,No handwashing,,,,Water point exists,yes,Water located near healthcre premises,,Yes,,,,566,9d60f59e-90aa-4a80-83ad-373b6f954310,2021-02-09T21:35:14,,68
2021-02-09T14:26:15.388Z,2021-02-09,358005081305960,8.92230205055341E+018,610025055341168,,Fatoumata CISSE,Bamako,Commune V,Kalaban - Coura,,ACI,12.550699999999999 -7.992876666666666 372.4 7.2,12.5507,-7.99287666666667,372.4,7.2,Cabinet Medical ''Sante pour Tous'',Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567,01d6ba35-8b8f-42a9-bcec-ed1cce56a07c,2021-02-09T21:35:14,,69
2021-02-09T11:38:41.323Z,2021-02-09,collect:no6U5V4eMLGVKt3U,,,,Minata M Konaré,Bamako,Commune V,Kalaban - Coura,,Kalaban coura ACI,12.5668017 -7.9869 381.3600183105469 2.433,12.5668017,-7.9869,381.360018310547,2.433,Clinique planète santé,Clinic,,All,Laboratory,Medicine,4,3,,,Yes,No,Other 24/7,0,0,0,0,0,0,1,1,Private,Dr Dienta Lassina,General,13,5,79480070,Yes,Improved,Yes,Yes,Facility is not equipped for menstrual hygiene management,yes,No,Existence of handwashing post/station(s):,,Facility with water and soap,yes,Water point exists,yes,Water located near healthcre premises,,Yes,Once a day,Other,,585,e67f3148-601c-4f42-8bcb-d63f3ef9c5cd,2021-02-09T22:41:38,,72
