start,end,today,deviceid,phonenumber,Name of data collector,City,Commune,Name of quartier,Name of sector,Name of sector,Please take a GPS point at this education facility.,_Please take a GPS point at this education facility._latitude,_Please take a GPS point at this education facility._longitude,_Please take a GPS point at this education facility._altitude,_Please take a GPS point at this education facility._precision,Name of Facility,Amenity,Opening Hours,Opening Hours/Mo-Fri 07:30-13:30,Opening Hours/Mo-Sa 07:30-15:00,Opening Hours/Mo-Fri 08:00-17:00,Opening Hours/Mo-Fri 09:00-17:00,Opening Hours/Mo-Su 07:00-20:00,Opening Hours/Mo-Fri 07:00-13:30,Opening Hours/Other,"You said other, please specify",What is the primary phone contact for the facility?,Name of the organization/institution that runs the facility,Type of the organization/institution that runs the facility,Religion,Number of Students,Does the facility charge fees?,Does the facility have toilets?,Type of facility,Is the facility separated boys/girls,Is the facility usable,Is the facility accessible to Handicap,Is the facility equiped for menstrual hygiene management,Is there practice of open defecation?,Is there existance of handwashing at the facility?,"If yes, How many",Is the facility located in school premises,Does the facility has water and soap?,Does the facility has daily hand cleaning activities for students,Is there existance of a water point?,"If yes, How many",Type of water point,Is water located on school premises?,Does there exist management committee for dealing with management of WASH issues,Is there a dedicated person for maintenance/cleaning facilities,Frequency of cleaning,Latrine Emptying,How often,Fees for cleaning WASH facility,Phone number for the school if available,_id,_uuid,_submission_time,_validation_status,_index
2021-02-08T10:52:21.849Z,2021-02-08T16:57:59.022Z,2021-02-08,collect:no6U5V4eMLGVKt3U,,Minata M konaré,Bamako,Commune V,Kalaban - Coura,,Kalaban coura kôkô,12.5794345 -7.9808817 384.06 2.76,12.5794345,-7.9808817,384.06,2.76,Complexe scolaire platon,School,Mo-Fri 07:30-13:30 Mo-Fri 09:00-17:00,1,0,0,1,0,0,0,,20201760,CAP,Private,,590,Yes,Yes,Improved,No,Usable,Not Accessible,Facility is equipped for menstrual hygiene management,No practice of open defecation [latrine present but not used],Existence of handwashing post/station(s):,2,Facility located on school premises,Facility with water and soap,School has daily hand cleaning activities for students,Water point exists,4,Improved,Water located on school premises,No,Yes,Once a day,Other,,Latrine emptying when needed,20201760,221,ff12da51-3216-4fd6-b7c0-317865418eb5,2021-02-08T19:02:54,,84
2021-02-08T12:24:42.687Z,2021-02-08T13:36:10.729Z,2021-02-08,collect:1txgpNFTAAr85wIK,,Toumany Diabaté,Bamako,Commune VI,Sénou,,Senou,12.498437 -7.9100855 379.83248650806564 7.25,12.498437,-7.9100855,379.832486508066,7.25,École Ramatou Diakite,School,Mo-Fri 09:00-17:00,0,0,0,1,0,0,0,,75309569,CAP de Senou,Private,,250,Yes,Yes,Unimproved,Yes,Usable,Accessible to Handicap,Facility is not equipped for menstrual hygiene management,No practice of open defecation [latrine present but not used],Existence of handwashing post/station(s):,2,Facility located on school premises,Facility with water and soap,School has daily hand cleaning activities for students,No existence of water point,,,,No,No,,Manual Emptier,1,Dedicated fees for WASH regular maintenance,79315145,237,bb120a81-80a4-47d6-978c-81e37b92f5de,2021-02-08T19:27:19,,99
2021-02-09T11:02:01.123Z,2021-02-09T11:06:24.770Z,2021-02-09,collect:MISsMtgfFQthUhqA,,Ramatou Sogoba,Bamako,Commune V,Kalaban - Coura,,,12.571444 -7.9913031 388.8545876315247 3.9,12.571444,-7.9913031,388.854587631525,3.9,Ecole de Santé Narhawa,School,Mo-Fri 09:00-17:00,0,0,0,1,0,0,0,,76242126,Privée,Private,,,,No,,,,,,,,,,,,,,,,,,,,,,76242126,499,42f221a7-6b09-498e-a630-efe3384fa006,2021-02-09T18:00:07,,265
2021-02-09T11:45:55.827Z,2021-02-09T11:52:53.229Z,2021-02-09,collect:MISsMtgfFQthUhqA,,Ramatou Sogoba ,Bamako,Commune V,Kalaban - Coura,,,12.5665105 -7.9904504 393.73143331291664 7.5,12.5665105,-7.9904504,393.731433312917,7.5,Ecole Preflorie,School,Mo-Fri 09:00-17:00,0,0,0,1,0,0,0,,76233586,Cap,Private,,150,Yes,Yes,Unimproved,Yes,Usable,Not Accessible,,,Existence of handwashing post/station(s):,3,Facility located on school premises,Facility with water and soap,School has daily hand cleaning activities for students,Water point exists,3,Improved,Water located on school premises,No,Yes,Once a day,Manual Emptier,,Latrine emptying when needed,74584220,501,0960c490-172a-4b71-b14d-a8fae92463ba,2021-02-09T18:00:08,,266
2021-02-09T13:58:48.127Z,2021-02-09T14:15:24.834Z,2021-02-09,collect:MISsMtgfFQthUhqA,,Ramatou Sogoba ,Bamako,Commune V,Kalaban - Coura,,Kalaban coura ACI,12.5547018 -7.9916962 395.43111865993126 3.9,12.5547018,-7.9916962,395.431118659931,3.9,Complexe scolaire planète des enfants ,School,Mo-Fri 09:00-17:00,0,0,0,1,0,0,0,,20796630,CAP,Private,,,Yes,Yes,Improved,Yes,Usable,Not Accessible,,,Existence of handwashing post/station(s):,6,Facility located on school premises,Facility with water and soap,,Water point exists,6,Improved,Water located on school premises,,Yes,Once a day,Manual Emptier,,Dedicated fees for WASH regular maintenance,20800647,503,d7feb604-c0ac-49c8-afc6-b09ea9956f8a,2021-02-09T18:00:09,,267
2021-02-09T15:13:03.424Z,2021-02-09T15:20:36.174Z,2021-02-09,collect:MISsMtgfFQthUhqA,,Ramatou Sogoba ,Bamako,Commune V,Kalaban - Coura,,,12.5584751 -7.9994196 396.8577169950578 3.9,12.5584751,-7.9994196,396.857716995058,3.9,École Danaya So ba,School,Mo-Fri 09:00-17:00,0,0,0,1,0,0,0,,65877455,CAP,Private,,293,Yes,Yes,Unimproved,No,,Not Accessible,Facility is not equipped for menstrual hygiene management,No practice of open defecation [latrine present but not used],Existence of handwashing post/station(s):,1,Facility located on school premises,Facility with water and soap,,Water point exists,1,Unimproved,Water located on school premises,,Yes,Once a day,Manual Emptier,,,,504,77363bf0-bb68-43a4-bf00-5a0134d8612f,2021-02-09T18:00:10,,268
2021-02-09T15:53:49.553Z,2021-02-09T15:56:35.053Z,2021-02-09,collect:MISsMtgfFQthUhqA,,Ramatou Sogoba ,Bamako,Commune V,Kalaban - Coura,,Kalaban coura ACI ,12.555482 -8.0010666 407.0751141727887 6.0,12.555482,-8.0010666,407.075114172789,6,Omega,School,Mo-Fri 09:00-17:00,0,0,0,1,0,0,0,,,Cap,Private,,,,,,,,,,,,,,,,,,,,,,,,,,,505,cf70954f-dff1-4a60-90a1-7c484931f776,2021-02-09T18:00:11,,269
2021-02-09T11:10:21.310Z,2021-02-10T08:26:28.385Z,2021-02-09,collect:MJ5leTIAnrD6YxEb,,Issa Keïta,Bamako,Commune V,Kalaban - Coura,,,12.569524 -7.9915082 381.1600061035156 4.34,12.569524,-7.9915082,381.160006103516,4.34,Complexe scolaire du sud,School,Mo-Fri 09:00-17:00,0,0,0,1,0,0,0,,66788040,Promoteur,Private,,700,Yes,Yes,Improved,Yes,Usable,Accessible to Handicap,Facility is equipped for menstrual hygiene management,Practice of open defecation [latrine present but not used],Existence of handwashing post/station(s):,2,Facility located on school premises,Facility with water and soap,School has daily hand cleaning activities for students,Water point exists,3,Improved,Water located on school premises,No,Yes,Once a day,Manual Emptier,,Latrine emptying when needed,,600,b042ab86-eea1-4408-aeb5-76d0c2c757d9,2021-02-10T08:31:02,,332
2021-02-10T10:53:46.892Z,2021-02-10T10:59:46.279Z,2021-02-10,collect:SIM9EPAN7xmiLAou,,Thierno Hady Dembélé ,Bamako,Commune VI,Missabougou,,Missabougou ,12.618905 -7.9152283 326.2 3.9,12.618905,-7.9152283,326.2,3.9,Laïdou,Kindergarten,Mo-Fri 07:30-13:30 Mo-Fri 09:00-17:00,1,0,0,1,0,0,0,,76486252,CAP de Banakanbougou,Private,,40,Yes,Yes,Improved,No,Usable,Not Accessible,Facility is not equipped for menstrual hygiene management,No practice of open defecation [latrine present but not used],Existence of handwashing post/station(s):,,Facility located on school premises,Facility with water and soap,School do not have daily hand cleaning activities for students,Water point exists,,Improved,Water located on school premises,No,Yes,,Other,,Latrine emptying when needed,76486252,772,c2e234e9-c772-4079-a9e5-a8b2d25378fd,2021-02-10T16:10:36,,422
2021-02-10T12:00:20.637Z,2021-02-10T12:13:34.177Z,2021-02-10,collect:SIM9EPAN7xmiLAou,,Thierno Hady Dembélé ,Bamako,Commune VI,Yirimadio,,Yimadjo ancien village,12.61524 -7.911955 336.0 3.9,12.61524,-7.911955,336,3.9,Groupe scolaire Yirimadjo,School,Mo-Sa 07:30-15:00 Mo-Fri 09:00-17:00,0,1,0,1,0,0,0,,66872271,Académie de la rive droit,Public,,400,Yes,Yes,Unimproved,Yes,Usable,Accessible to Handicap,Facility is not equipped for menstrual hygiene management,No practice of open defecation [latrine present but not used],Existence of handwashing post/station(s):,,,,,Water point exists,,Unimproved,Water located on school premises,Existence of Management Committee dealing with management of WASH issues,No,,Other,,Latrine emptying when needed,79166994,774,1c49719a-b0d7-4465-a685-8f899dec5be5,2021-02-10T16:10:37,,423
