start,end,today,deviceid,phonenumber,Name of data collector,City,Commune,Name of quartier,Name of sector,Name of sector,Please take a GPS point at this sanitation facility.,_Please take a GPS point at this sanitation facility._latitude,_Please take a GPS point at this sanitation facility._longitude,_Please take a GPS point at this sanitation facility._altitude,_Please take a GPS point at this sanitation facility._precision,Amenity,Disposal,Toilets: Access,Wheelchair,Does the facility charge fees?,Name of the facility,Name of Operator,Opening Hours,"You said other, please specify",Is there existance of handwashing at the facility?,Toilet Position,Does the facility have toilets?,"If yes, How many?",Type of Facility,Is the facility usable,Is the facility designated for women?,Is the facility designated for menstrual hygiene management (MHN)?,Is the facility meeting needs for limited mobility,Is there existance of handwashing at the facility?,Does the facility has water and soap?,Is there existance of a water point?,"If yes, How many",Type of water point,Level of Service,Does there exist management committee for dealing with management of WASH issues,Is there a dedicated person for maintenance/cleaning facilities,Fees for accessing the facility,Latrine Emptying,How often is emptying done?,Is there transportation of sludge at this point,_id,_uuid,_submission_time,_validation_status,_index
2021-02-08T13:42:46.477Z,2021-02-08T13:47:36.592Z,2021-02-08,358005081402445,,Oumar haidara,Bamako,Commune II,Médina Coura,,CSCOM,12.656946666666666 -7.994488333333334 366.8 7.4,12.6569466666667,-7.99448833333333,366.8,7.4,Toilets,Pit Latrine,Public,No,No,CSCOM,Gouvernematal,Other,24/24,Yes,Seated,Yes,,Improved,Usable,Yes,Facility is designated for menstrual hygiene management,Yes,Yes,Facility with water and soap,,,,,"Yes, there is existence of Management Committee dealing with management of WASH issues","Yes, there is  a dedicated operator in charge of maintenance and cleaning",No,Manual Emptier,,,123,98367583-8049-4a79-8b28-ae6ce1f1bed8,2021-02-08T14:03:14,,1
2021-02-08T12:08:41.596Z,2021-02-08T12:15:37.580Z,2021-02-08,collect:ZmcbjTvJ92OWd2Nb,,Railda,Bamako,Commune II,Bagadadji,,Railleda,12.6503011 -7.9903843 374.26001220703125 5.0,12.6503011,-7.9903843,374.260012207031,5,Toilets,Pit Latrine,Public,No,Yes,Toilettepublique,,Mo-Su 07:00-20:00,,No,Seated,Yes,,,,,,,,,,,,,,,,,,No,156,b5312333-1ccf-443a-bf43-5c6357b52a21,2021-02-08T16:48:33,,2
2021-02-08T12:43:03.813Z,2021-02-08T12:57:21.154Z,2021-02-08,collect:FHdsKPpeR8jLHo9P,,Salimata,Bamako,Commune III,Ouolofobougou Bolibana,,Secteur 4,12.6450867 -8.0127133 348.5098100222577 2.76,12.6450867,-8.0127133,348.509810022258,2.76,Toilets,Pit Latrine,Public,No,No,ASACOOB,Sadio Coulibaly,Other,"08h à 16h,",Yes,Urinal,Yes,,Unimproved,Usable,Yes,Facility is designated for menstrual hygiene management,,,,,,,,,,,,,No,243,45bb0774-6745-49e0-bf89-0486c4ee9927,2021-02-08T19:50:40,,3
2021-02-09T10:25:13.502Z,2021-02-09T10:29:21.353Z,2021-02-09,collect:gpB4BSgVXdaUJ74i,,Bintou diarra,Bamako,Commune III,Badialan III,,,12.6531683 -8.02435 341.6 3.9,12.6531683,-8.02435,341.6,3.9,Toilets,Pit Latrine,Permissive,No,Yes,Pharmacie de la mosquée,,,,Yes,Seated,Yes,1,Improved,Usable,No,Facility is not designated for menstrual hygiene management,Yes,Yes,Facility with water and soap,Water point exists,1,Improved,Available when needed,"Yes, there is existence of Management Committee dealing with management of WASH issues","Yes, there is  a dedicated operator in charge of maintenance and cleaning",No,Truck Emptier,,No,461,6bf6137f-bb53-40bb-969f-e6ec4f53dd48,2021-02-09T17:31:19,,4
2021-02-08T12:52:24.276Z,2021-02-10T09:53:00.434Z,2021-02-08,collect:uun31ChzwngFIAAC,,Landouré tata,Bamako,Commune II,Bagadadji,,Clinique de la grande mosquée,12.64728 -7.994005 337.755586526914 3.033,12.64728,-7.994005,337.755586526914,3.033,Toilets,Flush,Customers,Yes,Yes,Clinique de la grande mosquée,Ministère de la santé,Other,Clinique ouvert24/24,Yes,Squat,Yes,,Improved,Usable,Yes,Facility is designated for menstrual hygiene management,Yes,Yes,Facility with water and soap,Water point exists,8,Improved,Available when needed,"Yes, there is existence of Management Committee dealing with management of WASH issues","Yes, there is  a dedicated operator in charge of maintenance and cleaning","Yes, there is payment of fees (by customer) to access facilities",Other,4,No,662,d8b6e6d7-8c55-4369-941a-63dce3273c05,2021-02-10T09:56:37,,5
2021-02-08T13:31:36.717Z,2021-02-08T13:38:25.618Z,2021-02-08,collect:uun31ChzwngFIAAC,,Landoure tata,Bamako,Commune II,Niarela,,Niarela,12.6471881 -7.9852685 340.77252609858573 2.75,12.6471881,-7.9852685,340.772526098586,2.75,,,,,,ODJENNE,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,663,0c6b192e-d423-4a6f-9126-8b49689909d6,2021-02-10T09:56:42,,6
2021-02-09T12:29:15.349Z,2021-02-09T12:33:10.433Z,2021-02-09,collect:uun31ChzwngFIAAC,,Landoure tata,Bamako,Commune II,Zone Industrielle,,Zone industrielle,12.6465683 -7.973615 349.13222965443657 1.7,12.6465683,-7.973615,349.132229654437,1.7,,,,,,Centre de santé VALENTIN DE PABLO,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,664,75cb2080-b32c-45cb-81d5-27d3964b24dd,2021-02-10T09:56:50,,7
2021-02-09T12:36:52.275Z,2021-02-09T12:41:01.105Z,2021-02-09,collect:uun31ChzwngFIAAC,,Landouré tata,Bamako,Commune II,Zone Industrielle,,Zone industrielle,12.646332 -7.9753 335.1777415501378 2.433,12.646332,-7.9753,335.177741550138,2.433,,,,,,PMU,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,665,d03e2e73-886c-4948-8720-e95cc01dcc0d,2021-02-10T09:56:52,,8
2021-02-09T12:44:57.948Z,2021-02-09T12:46:09.403Z,2021-02-09,collect:uun31ChzwngFIAAC,,Landoure tata,Bamako,Commune II,Niarela,,Niarela,12.6437796 -7.9781605 340.74620899058016 2.66,12.6437796,-7.9781605,340.74620899058,2.66,,,,,,BRIGO,,,,,,Yes,,,,,,,,,,,,,,,,,,,666,abac4aab-9230-44cc-b152-cdc9e128c48a,2021-02-10T09:56:53,,9
2021-02-09T12:52:48.852Z,2021-02-09T12:55:04.019Z,2021-02-09,collect:uun31ChzwngFIAAC,,Landouré tata,Bamako,Commune II,Niarela,,N'golonina,12.6406083 -7.9852917 366.0669250952404 1.866,12.6406083,-7.9852917,366.06692509524,1.866,,,,,,OSACO BONIABA,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,667,0cf3035d-79bf-457a-bf1a-bf0151788048,2021-02-10T09:56:54,,10
