start,end,today,deviceid,phonenumber,This is a form used to map Telecommunication Facilities. Please fill this form while at the Telecommunication Facility location.,Name of data collector,City,Commune,Name of quartier,Name of sector,Name of sector,Please take a GPS point at this Telecommunication Facility.,_Please take a GPS point at this Telecommunication Facility._latitude,_Please take a GPS point at this Telecommunication Facility._longitude,_Please take a GPS point at this Telecommunication Facility._altitude,_Please take a GPS point at this Telecommunication Facility._precision,Man Made,Telecom,Communication,Who is operator of the facility,You are now at end of this form. Thank you for filling it out. Swipe to the next page/screen and save form.,_id,_uuid,_submission_time,_validation_status,_index
2021-02-08T15:48:41.618Z,2021-02-08T15:56:12.895Z,2021-02-08,collect:AdfiW4ZdTTGYwc43,,,Anna Diarra,Bamako,Commune IV,Sébéninkoro,,Sebenikoro secteur 1,12.5884894 -8.0535179 333.57615749657526 1.3,12.5884894,-8.0535179,333.57615749657526,1.3,Antenna,Distribution Point,Mobile Phone,Orange Mali,,151,0094bb99-dc5a-4847-8bd3-cd496e21b2a9,2021-02-08T16:41:40,,1
2021-02-08T12:40:46.461Z,2021-02-08T12:42:08.853Z,2021-02-08,collect:RO63CMdXvKJxXYeB,,,Ousmane Kouyate ,Bamako,Commune I,Banconi,Banconi Layebougou,Layebougou ,12.6745174 -7.965127 387.08314220965843 3.411,12.6745174,-7.965127,387.08314220965843,3.411,Antenna,Connection Point,Mobile Phone,Orange ,,158,4d588e98-0b8c-4247-9f45-8c76ad544677,2021-02-08T16:48:36,,2
2021-02-08T13:19:16.304Z,2021-02-08T13:23:13.980Z,2021-02-08,collect:doqJGB7PZxYJ95Vo,,,Ibrahima BABY ,Bamako,Commune IV,Sébéninkoro,,Sébenikoro secteur 1,12.5873466 -8.059529 361.0 5.333,12.5873466,-8.059529,361.0,5.333,Antenna,Distribution Point,Mobile Phone,Malitel ,,161,abbc83e8-41f5-4633-a433-31a512896c01,2021-02-08T16:52:49,,3
2021-02-08T12:25:36.941Z,2021-02-08T12:39:40.835Z,2021-02-08,collect:rWmgRjTPVggkfceM,,,Awa camara,Bamako,Commune IV,Hamdallaye,,Agence hamdalaye,12.6421433 -8.0204017 347.50267168371283 1.328,12.6421433,-8.0204017,347.50267168371283,1.328,Mast,,,,,163,a740c701-37a5-4547-999d-af56c73f5d05,2021-02-08T16:53:56,,4
2021-02-08T14:37:00.235Z,2021-02-08T14:43:39.070Z,2021-02-08,collect:rWmgRjTPVggkfceM,,,Awa camara,Bamako,Commune IV,Lafiabougou,,Hamdalaye aci,12.6275267 -8.0302417 339.76053578131405 1.4,12.6275267,-8.0302417,339.76053578131405,1.4,Antenna,Distribution Point,Television,,,165,ca2d6f65-53e1-4b14-893e-07fb438b96ee,2021-02-08T16:54:00,,5
2021-02-08T12:33:22.197Z,2021-02-08T12:34:17.526Z,2021-02-08,collect:rpvpthByLQPVYLdY,,,Kassim TRAORE ,Bamako,Commune III,Darsalam,,,12.650695 -8.0053233 344.98860339033735 3.9,12.650695,-8.0053233,344.98860339033735,3.9,Antenna,Exchange,Mobile Phone,Malitel ,,191,4538f9b4-fcb5-4339-9188-398cf643182b,2021-02-08T17:29:23,,6
2021-02-08T12:27:15.988Z,2021-02-08T12:30:59.038Z,2021-02-08,collect:8htkpzfiqj8dFVDp,,,Habibatou sanogo,Bamako,Commune III,Darsalam,,,12.6518377 -8.0060109 366.76001220703125 3.964,12.6518377,-8.0060109,366.76001220703125,3.964,Communication Tower,Service Device,Mobile Phone,Orange,,219,7327b87f-df01-4a22-b591-2ef6799567fa,2021-02-08T18:17:52,,7
2021-02-09T14:40:48.845Z,2021-02-09T14:45:02.411Z,2021-02-09,collect:rWmgRjTPVggkfceM,,,Awa camara,Bamako,Commune IV,Lafiabougou,,Lassa,12.6544533 -8.0445767 441.85621916075394 1.4,12.6544533,-8.0445767,441.85621916075394,1.4,Antenna,Distribution Point,Mobile Phone,Malitel,,324,16d9dc07-69f3-415b-9824-50fa6346ebe9,2021-02-09T15:53:31,,8
2021-02-09T10:11:14.962Z,2021-02-09T10:13:49.005Z,2021-02-09,collect:AdfiW4ZdTTGYwc43,,,Anna Diarra,Bamako,Commune IV,Sébéninkoro,,,12.5996683 -8.053815 335.4292927218287 2.4,12.5996683,-8.053815,335.4292927218287,2.4,Antenna,Distribution Point,Mobile Phone,Malitel,,329,f661b1f4-88ea-4f2f-b1b7-87c6e65bc037,2021-02-09T16:03:28,,9
2021-02-09T10:25:42.761Z,2021-02-09T10:30:30.572Z,2021-02-09,collect:AdfiW4ZdTTGYwc43,,,Anna Diarra,Bamako,Commune IV,Sébéninkoro,,,12.5973 -8.0565683 336.0775994103064 3.9,12.5973,-8.0565683,336.0775994103064,3.9,Antenna,Distribution Point,Mobile Phone,Orange Mali,,330,f64e163f-fe01-421b-adc0-b80a020cbf22,2021-02-09T16:03:28,,10
