start,end,today,deviceid,phonenumber,This is a form used to map Electrical Installations. Please fill this form while at the Electrical Installation location.,Name of data collector,City,Commune,Name of quartier,Name of sector,Name of sector,Please take a GPS point at this electrical installation.,_Please take a GPS point at this electrical installation._latitude,_Please take a GPS point at this electrical installation._longitude,_Please take a GPS point at this electrical installation._altitude,_Please take a GPS point at this electrical installation._precision,Name of Facility,Power,Whats the operating voltage?,Who is the operator of the installation?,Number of conductors,Number of circuits,You are now at end of this form. Thank you for filling it out. Swipe to the next page/screen and save form.,_id,_uuid,_submission_time,_validation_status,_index
2021-02-09T14:08:59.034Z,2021-02-09T14:14:30.588Z,2021-02-09,collect:n5oaS9J0rPkZfkVZ,,,Bernard Ballo,Bamako,Commune V,Kalaban - Coura,,,12.5764777 -7.9990102 362.445688887855 2.0,12.5764777,-7.9990102,362.445688887855,2.0,Énergie du mali,Line,,Population,,,,525,b9d9b7a5-b8d9-4e5f-8a0d-6f4b4d42ff17,2021-02-09T18:40:46,,1
2021-02-10T07:45:02.054Z,2021-02-10T11:28:36.296Z,2021-02-10,collect:FHdsKPpeR8jLHo9P,,,Salimata Traoré,Bamako,Commune III,Ouolofobougou Bolibana,,Secteur 1,12.6501566 -8.0119237 363.7972034352545 4.96,12.6501566,-8.0119237,363.7972034352545,4.96,AMPPF,Transformer,Haute tension,EDM -SA,,,,700,27d9c65d-87fe-48f1-b742-fa04b8574e87,2021-02-10T11:59:59,,2
2021-02-10T11:39:41.654Z,2021-02-10T12:57:59.523Z,2021-02-10,collect:FqitT56WpXPmMGWo,,,Y,Bamako,Commune II,Quinzambougou,,Quinzambougou,12.6493144 -7.9773393 360.51187868703437 2.4,12.6493144,-7.9773393,360.51187868703437,2.4,,Line,M015,GOUVERNEMENT du mali ,3,???,,730,9420e206-6730-4818-9a54-0252a1451d02,2021-02-10T15:42:38,,3
2021-02-10T15:36:26.955Z,2021-02-10T17:37:24.301Z,2021-02-10,collect:FHdsKPpeR8jLHo9P,,,Salimata Traoré,Bamako,Commune III,Ouolofobougou Bolibana,,Secteur 3,12.6482917 -8.0135117 360.80361621132425 3.02,12.6482917,-8.0135117,360.80361621132425,3.02,EDM,Transformer,Haute tension,EDM,,,,943,64b59285-fca7-4b1c-bba6-7908618f6f16,2021-02-10T17:38:13,,4
2021-02-08T13:41:15.623Z,2021-02-08T13:49:54.833Z,2021-02-08,358005081423789,,,Baoumou Konaté ,Bamako,Commune I,Banconi,Plateau Banconi,Plateau,12.671615000000001 -7.96865 334.6 7.6,12.671615000000001,-7.96865,334.6,7.6,EDM,Transformer,p 222,Énergie,,,,1283,646dcc52-9406-4fc9-a495-62451c3ecdbe,2021-02-15T15:01:24,,5
2021-02-15T10:56:28.174Z,2021-02-15T10:58:57.600Z,2021-02-15,collect:kZCwpco2LamgRepp,,,Bakary Camara,Bamako,Commune IV,Lafiabougou,,Lafiabougou marché,12.638047602449689 -8.03956132992957 373.7584267342444 4.0,12.638047602449689,-8.03956132992957,373.7584267342444,4.0,Agence Clientèle de Lafiabougou,Tower,,Énergie du Mali ,,,,1360,9fd86713-5b6f-441c-8c8f-c0683549fb1f,2021-02-15T15:56:33,,6
2021-02-15T10:49:14.336Z,2021-02-15T10:50:36.126Z,2021-02-15,collect:MISsMtgfFQthUhqA,,,Ramatou Sogoba ,Bamako,Commune V,Kalaban - Coura,,Kalaban coura Ext-sud ,12.5715075 -7.9978947 374.61693764811906 3.9,12.5715075,-7.9978947,374.61693764811906,3.9,Métal Sardou,Plant,,,,,,1578,5f790739-0d3d-4543-9d7f-269662fe1d4d,2021-02-15T16:47:13,,7
2021-02-15T14:56:59.805Z,2021-02-15T14:58:01.802Z,2021-02-15,collect:MISsMtgfFQthUhqA,,,Ramatou Sogoba ,Bamako,Commune V,Gantiguibougou,,,12.5622939 -8.0014434 371.87574601917765 3.9,12.5622939,-8.0014434,371.87574601917765,3.9,Tomba métallique etINOX et Aluminium ,Plant,,,,,,1601,abd05ef1-3344-402b-b206-8cc9fb27659c,2021-02-15T16:47:34,,8
2021-02-15T15:12:59.326Z,2021-02-15T15:13:53.818Z,2021-02-15,collect:MISsMtgfFQthUhqA,,,Issa keïta ,Bamako,Commune V,Gantiguibougou,,,12.5600514 -7.9995832 370.07893308969307 3.9,12.5600514,-7.9995832,370.07893308969307,3.9,Métal MALMA,Plant,,,,,,1604,f2f69edf-23c0-470c-a475-e895d745aee4,2021-02-15T16:47:36,,9
2021-02-15T15:21:49.419Z,2021-02-15T15:22:34.936Z,2021-02-15,collect:MISsMtgfFQthUhqA,,,Ramatou Sogoba ,Bamako,Commune V,Gantiguibougou,,,12.5586867 -7.9999303 370.3804787307286 3.9,12.5586867,-7.9999303,370.3804787307286,3.9,Métal NENE,Plant,,,,,,1606,24414c00-2d84-45ea-8a6f-85cdba37e96d,2021-02-15T16:47:37,,10
